,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NFLX,NVDA,JPM,BAC,WFC,T,VZ,DIS,INTC,CSCO,XOM,CVX,BA,IBM
AAPL,0.008843239749044447,0.004026830286609662,0.003828534092126576,0.006007542869195319,0.004712649209097774,0.012336433300521456,0.0051129614925875,0.009071309097760409,0.002908388520420961,0.0041944701507726926,0.0031419264901450432,0.001526752304543515,0.0006378596991145279,0.004333469883386702,0.0028269046222890604,0.003327430614525705,0.002755585610142544,0.002507362368408911,0.0036577168178553838,0.0022490236890984625
MSFT,0.004026830286609662,0.0038499008529216602,0.0033764530760468916,0.004225141653175159,0.0037166581127864146,0.007383255979925839,0.003711918333363292,0.006078161473721349,0.002290969531059404,0.0030502450248655645,0.0022027162931990197,0.0008567241287156845,0.0007777196383339376,0.002896242268988945,0.002188099885725116,0.002330952816662128,0.0018627838426739927,0.0021503798317678963,0.002972008153606121,0.0015217914180403122
GOOGL,0.003828534092126576,0.0033764530760468916,0.005426262725839864,0.00425548346163029,0.0043041570999223615,0.007487946787055932,0.0034724453448240857,0.005960563986328764,0.0032819422303599355,0.004238912164688593,0.0035528473411864836,0.0011806694523721194,0.0009344294769343907,0.003788180634596748,0.0021344827125084494,0.00239909684741704,0.002603677321484862,0.0030457064641137913,0.0031339913148309604,0.002288340169489893
AMZN,0.006007542869195319,0.004225141653175159,0.00425548346163029,0.009011412721470526,0.005126666156455333,0.010761510277552531,0.00707689813243111,0.007925038889136423,0.001962945538244365,0.003571155697408775,0.001863021216942726,-8.853299958443143e-05,0.0005983068122363217,0.003827266718702598,0.001692522312697359,0.002898748220472198,0.0018117374490328128,0.0026339725285908474,0.0020296795773811593,0.002022343128147518
META,0.004712649209097774,0.0037166581127864146,0.0043041570999223615,0.005126666156455333,0.012701892072045015,0.007697192901636536,0.003970902375695162,0.007069232067249513,0.0027730516612334503,0.0038543762398254864,0.002213347389120554,0.0012778962136118042,0.0012047370253855222,0.00290929974931772,0.0018105800048106647,0.0027504382437434655,0.0011672421296869018,0.0013872378300375148,0.003936869344653337,0.002970335022475924
TSLA,0.012336433300521456,0.007383255979925839,0.007487946787055932,0.010761510277552531,0.007697192901636536,0.04724006653111173,0.008791713302308107,0.012248329240324731,0.003771722177663097,0.00660921087490493,0.005264592445787651,1.8042271461006747e-05,0.001495134523580918,0.006943831321285366,0.00463791655588286,0.002326595692044901,0.0030633408412175855,0.0048332422185526245,0.005021581535968213,0.0009366455418059952
NFLX,0.0051129614925875,0.003711918333363292,0.0034724453448240857,0.00707689813243111,0.003970902375695162,0.008791713302308107,0.01444877118702544,0.0095682789616605,0.003672894735071867,0.0046953428015869625,0.002555210620961076,2.8532312101825734e-05,-6.665135868021084e-05,0.0047144812383125645,0.0022798074059519747,0.0037471013299531114,0.0021530848157311744,0.002802528746798759,0.004628233732916541,0.0015902360495782515
NVDA,0.009071309097760409,0.006078161473721349,0.005960563986328764,0.007925038889136423,0.007069232067249513,0.012248329240324731,0.0095682789616605,0.01979778328292351,0.0042860933663236775,0.005596085427867088,0.0036273123766151056,0.0011439637381161296,0.0009250443382929927,0.0036336206493688865,0.004577790067520369,0.0040021700723537335,0.0027664752797060582,0.0036415121485048746,0.004948280768272562,0.0025414171454297206
JPM,0.002908388520420961,0.002290969531059404,0.0032819422303599355,0.001962945538244365,0.0027730516612334503,0.003771722177663097,0.003672894735071867,0.0042860933663236775,0.0062893032913485525,0.006713454598263512,0.005811935562635828,0.0027471832329519124,0.001309172768902807,0.005412056731411654,0.0031510745737980536,0.003351678577277658,0.005007947997739285,0.0049239429844615,0.006128682686311224,0.0030926629162835273
BAC,0.0041944701507726926,0.0030502450248655645,0.004238912164688593,0.003571155697408775,0.0038543762398254864,0.00660921087490493,0.0046953428015869625,0.005596085427867088,0.006713454598263512,0.008558435821412561,0.007371524583616798,0.002977846842697861,0.001337374124612116,0.006187828623608947,0.0035386357295225522,0.004160791462539241,0.006545755722911588,0.006223624770466648,0.007085041844432502,0.003957613405123674
WFC,0.0031419264901450432,0.0022027162931990197,0.0035528473411864836,0.001863021216942726,0.002213347389120554,0.005264592445787651,0.002555210620961076,0.0036273123766151056,0.005811935562635828,0.007371524583616798,0.009103912557117413,0.0027827916667123626,0.0016195829452578482,0.0054800286980689564,0.0029332213517661017,0.003117882240435491,0.007117737398628996,0.0063096815730630355,0.007613992511766791,0.0029927693364293225
T,0.001526752304543515,0.0008567241287156845,0.0011806694523721194,-8.853299958443143e-05,0.0012778962136118042,1.8042271461006747e-05,2.8532312101825734e-05,0.0011439637381161296,0.0027471832329519124,0.002977846842697861,0.0027827916667123626,0.00393419388794956,0.0013613897199497124,0.0017334605774936272,0.0022044556905878353,0.0018318552682731542,0.0035314936814082247,0.003065230240329926,0.0034749402643733302,0.0035828315684862844
VZ,0.0006378596991145279,0.0007777196383339376,0.0009344294769343907,0.0005983068122363217,0.0012047370253855222,0.001495134523580918,-6.665135868021084e-05,0.0009250443382929927,0.001309172768902807,0.001337374124612116,0.0016195829452578482,0.0013613897199497124,0.0023625847602366475,0.0012060373769399889,0.0013011763008378655,0.0010257828752921992,0.001405999643491548,0.0015925109520419064,0.0013810642044712288,0.001069715568416213
DIS,0.004333469883386702,0.002896242268988945,0.003788180634596748,0.003827266718702598,0.00290929974931772,0.006943831321285366,0.0047144812383125645,0.0036336206493688865,0.005412056731411654,0.006187828623608947,0.0054800286980689564,0.0017334605774936272,0.0012060373769399889,0.008909101436469674,0.0026709027528539642,0.003416821654346974,0.004494201693064049,0.004623018254949213,0.006075800683970531,0.0023690264662480846
INTC,0.0028269046222890604,0.002188099885725116,0.0021344827125084494,0.001692522312697359,0.0018105800048106647,0.00463791655588286,0.0022798074059519747,0.004577790067520369,0.0031510745737980536,0.0035386357295225522,0.0029332213517661017,0.0022044556905878353,0.0013011763008378655,0.0026709027528539642,0.006548951346396907,0.0031592111992060495,0.0033036662047351176,0.003537037904809155,0.004021326402272484,0.0026184778958512336
CSCO,0.003327430614525705,0.002330952816662128,0.00239909684741704,0.002898748220472198,0.0027504382437434655,0.002326595692044901,0.0037471013299531114,0.0040021700723537335,0.003351678577277658,0.004160791462539241,0.003117882240435491,0.0018318552682731542,0.0010257828752921992,0.003416821654346974,0.0031592111992060495,0.006136394278999054,0.002874401180938588,0.003297937798022134,0.0050456928000368025,0.003298788968897516
XOM,0.002755585610142544,0.0018627838426739927,0.002603677321484862,0.0018117374490328128,0.0011672421296869018,0.0030633408412175855,0.0021530848157311744,0.0027664752797060582,0.005007947997739285,0.006545755722911588,0.007117737398628996,0.0035314936814082247,0.001405999643491548,0.004494201693064049,0.0033036662047351176,0.002874401180938588,0.010253414648760992,0.008773303869597524,0.006217918778451052,0.003858153887571502
CVX,0.002507362368408911,0.0021503798317678963,0.0030457064641137913,0.0026339725285908474,0.0013872378300375148,0.0048332422185526245,0.002802528746798759,0.0036415121485048746,0.0049239429844615,0.006223624770466648,0.0063096815730630355,0.003065230240329926,0.0015925109520419064,0.004623018254949213,0.003537037904809155,0.003297937798022134,0.008773303869597524,0.009291008036898245,0.006259671996644342,0.003590929337166409
BA,0.0036577168178553838,0.002972008153606121,0.0031339913148309604,0.0020296795773811593,0.003936869344653337,0.005021581535968213,0.004628233732916541,0.004948280768272562,0.006128682686311224,0.007085041844432502,0.007613992511766791,0.0034749402643733302,0.0013810642044712288,0.006075800683970531,0.004021326402272484,0.0050456928000368025,0.006217918778451052,0.006259671996644342,0.01817083734797576,0.0045554139425546996
IBM,0.0022490236890984625,0.0015217914180403122,0.002288340169489893,0.002022343128147518,0.002970335022475924,0.0009366455418059952,0.0015902360495782515,0.0025414171454297206,0.0030926629162835273,0.003957613405123674,0.0029927693364293225,0.0035828315684862844,0.001069715568416213,0.0023690264662480846,0.0026184778958512336,0.003298788968897516,0.003858153887571502,0.003590929337166409,0.0045554139425546996,0.00589549856734086
